cod_producto_comercial;cod_modalidad;fec_alta;fec_baja;cod_sap;cod_upu;ind_obliga_cb;num_intentos_entrega;num_bultos_max;logo;ind_obliga_medidas;largo_min;largo_max;largo_extra_max;ancho_min;ancho_max;ancho_extra_max;alto_min;alto_max;alto_extra_max;criterio_max;criterio_extra;dimension_rollo_min;dimension_rollo_max;diametro_min;diametro_max;criterio_rollo_max;peso_volumetrico_max;volumen;caducidad_min;caducidad_max;tiempo_lista;fec_creacion;fec_actualizacion
PADXA1;DOUAOF;2023-10-31 00:00:00;;S0235;PEXDO;t;2;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;;S0236;PEXOF;t;1;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;;S0176;PRCIT;t;1;10;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;;S0235;PEXDO;t;2;1;;t;100;550;550;145;550;550;1;390;390;1490;1490;100;550;100;300;1500;19663;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;;S0236;PEXOF;t;1;1;;t;100;550;550;145;550;550;1;390;390;1490;1490;100;550;100;300;1500;19663;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;;S0235;PEXDO;t;2;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;;S0236;PEXOF;t;1;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;;S0132;PQDOM;t;2;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB1;OFUAOF;2023-10-31 00:00:00;;S0133;PQELE;t;1;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB1;CIUAOF;2023-10-31 00:00:00;;S0178;STCIT;t;1;10;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB3;DOUAOF;2023-10-31 00:00:00;;S0132;PQDOM;t;2;1;;t;100;550;550;145;550;550;1;390;390;1490;1490;100;550;100;300;1500;19663;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB3;OFUAOF;2023-10-31 00:00:00;;S0133;PQELE;t;1;1;;t;100;550;550;145;550;550;1;390;390;1490;1490;100;550;100;300;1500;19663;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB4;DOUAOF;2023-10-31 00:00:00;;S0605;PQDOM;t;2;1;;t;100;550;550;145;390;390;1;600;600;1540;1540;100;600;100;300;1540;21450;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB4;OFUAOF;2023-10-31 00:00:00;;S0605;PQELE;t;1;1;;t;100;550;550;145;390;390;1;600;600;1540;1540;100;600;100;300;1540;21450;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB5;URUAOF;2024-02-20 00:00:00;;S0132;PQDOM;f;3;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;0;2024-02-20 00:00:00;2024-04-19 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;;S0411;PPOPM;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;;S0410;PPOST;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAGXJ1;BUUAOF;2023-10-31 00:00:00;;S0360;LIGHT;t;1;1;;t;90;600;600;140;600;600;1;600;600;900;900;100;900;100;900;1040;2250;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;;S0031;PPOSE;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
OSIVL2;RAUAOF;2023-10-31 00:00:00;;S0348;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;180;0;2023-10-31 00:00:00;2024-04-19 00:00:00
OSIVL2;ACUAOF;2023-10-31 00:00:00;;S0348;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;180;0;2023-10-31 00:00:00;2024-04-19 00:00:00
PAGXC1;BUUAOF;2024-01-12 00:00:00;;S0179;PGDOM;t;1;1;;t;100;350;350;150;230;230;1;20;20;600;600;0;0;0;0;0;0;0.00;0;180;15;2024-01-12 00:00:00;2024-04-19 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;;S0148;PLRET;t;2;1;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2024-01-12 00:00:00;2024-04-19 00:00:00
LOJXO1;PEUAOF;2024-01-19 00:00:00;;S0420;XLIDA;t;1;10;;t;100;400;400;145;300;300;1;300;300;1000;1000;0;0;0;0;0;0;0.12;0;180;0;2024-01-19 00:00:00;2024-04-19 00:00:00
LOJXP1;DOURUA;2024-01-19 00:00:00;;S0421;XLVTA;t;1;10;;t;500;2000;2000;500;1000;1000;500;2200;2200;5200;5200;0;0;0;0;0;0;1.62;0;180;0;2024-01-19 00:00:00;2024-04-19 00:00:00
LOJXY1;DOURUA;2024-04-19 00:00:00;;S0473;XLDEV;t;1;1;;t;500;2000;2000;500;1000;1000;500;2200;2200;5200;5200;0;0;0;0;0;0;1.62;0;0;0;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;DOUAOF;2024-04-19 00:00:00;;S0032;PAZUL;t;1;1;;t;90;1000;1000;140;1000;1000;1;1000;1000;2000;2000;100;1000;100;150;1150;50000;0.00;0;180;15;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;;S0292;PTDDO;t;2;10;;t;100;390;390;145;390;390;1;290;290;1070;1070;0;0;0;0;0;8000;0.00;0;180;15;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;;S0293;PTDOF;t;1;10;;t;100;390;390;145;390;390;1;290;290;1070;1070;0;0;0;0;0;8000;0.00;0;180;15;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;CIUAOF;2024-04-19 00:00:00;;S0295;TDCIT;t;1;10;;t;100;390;390;145;390;390;1;290;290;1070;1070;0;0;0;0;0;8000;0.00;0;180;15;2024-04-19 00:00:00;2024-04-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;;S0420;XLIDA;t;1;10;;t;500;2000;2000;100;1000;1000;500;2200;2200;5200;5200;0;0;0;0;0;0;1.62;0;180;0;2024-01-19 00:00:00;2024-04-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;;S0424;XPALE;t;1;10;;t;100;1200;2400;145;1000;2400;100;2200;2430;4400;6830;0;0;0;0;0;1500000;11.67;0;180;0;2024-01-19 00:00:00;2024-11-21 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;;S0425;RPALE;t;1;10;;t;100;1200;2400;145;1000;2400;100;2200;2430;4400;6830;0;0;0;0;0;1500000;11.67;0;180;0;2024-01-19 00:00:00;2024-11-21 00:00:00
LOHXZ1;DOURUA;2024-04-19 00:00:00;;S0426;DPALE;t;1;1;;t;100;1200;2400;145;1000;2400;100;2200;2430;4400;6830;0;0;0;0;0;1500000;11.67;0;0;0;2024-04-19 00:00:00;2024-11-21 00:00:00
LOJXO1;AUURUA;2024-01-19 00:00:00;;S0474;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;180;0;2024-01-19 00:00:00;2024-10-17 00:00:00
FRAXQ1;DOUAOF;2024-02-20 00:00:00;;S0511;PFRIO;t;2;1;;t;360;680;680;360;490;490;350;480;480;1610;1610;0;0;0;0;0;24430;0.00;0;180;0;2024-02-20 00:00:00;2024-07-14 00:00:00
FRAXQ2;DOUAOF;2024-02-20 00:00:00;;S0512;PFRIP;t;2;1;;t;360;680;680;360;490;490;350;480;480;1610;1610;0;0;0;0;0;24430;0.00;0;180;0;2024-02-20 00:00:00;2024-07-14 00:00:00
FRAXS1;DOUAOF;2024-02-20 00:00:00;;S0513;PFARM;t;2;1;;t;360;680;680;360;490;490;350;480;480;1610;1610;0;0;0;0;0;24430;0.00;0;180;0;2024-02-20 00:00:00;2024-07-14 00:00:00
FRAXT1;DOURUA;2024-02-20 00:00:00;;S0523;DFARM;t;1;1;;t;360;680;680;360;490;490;350;480;480;1610;1610;0;0;0;0;0;24430;0.00;0;180;0;2024-02-20 00:00:00;2024-07-14 00:00:00
PAAZG1;DOURUA;2024-04-19 00:00:00;;S0134;PQDEV;t;1;1;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;0;15;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;;S0135;PLINV;t;2;1;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;;S0159;PLINI;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;0.00;0;180;15;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX1;DOURUA;2024-04-19 00:00:00;;S0412;PPDEV;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;0.00;0;0;15;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;ESTREG;2024-04-19 00:00:00;;S0241;;f;1;99;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;10;0;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;ESTESP;2024-04-19 00:00:00;;S0239;;f;1;99;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;10;0;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;ESPESP;2024-04-19 00:00:00;;S0240;;f;1;99;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;10;0;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA3;ESTESP;2024-04-19 00:00:00;;S0239;;f;1;99;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;10;0;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA4;ESTESP;2024-04-19 00:00:00;;S0239;;f;1;99;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;10;0;2024-04-19 00:00:00;2024-04-19 00:00:00
EDKVAB2;CUBOFO;2024-06-06 00:00:00;;S0172;ENVIODINERO;t;1;1;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;0;2024-06-06 00:00:00;2024-06-06 00:00:00
EDKVAB2;OFIOFO;2024-06-06 00:00:00;;S0173;ENVIODINERO;t;1;1;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;0;2024-06-06 00:00:00;2024-06-06 00:00:00
EDKVAB2;DOMOFO;2024-06-06 00:00:00;;S0170;ENVIODINERO;t;1;1;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;30;2024-06-06 00:00:00;2024-06-06 00:00:00
LOJXO1;DSUAOF;2024-01-19 00:00:00;;S0420;XLIDA;t;1;10;;t;500;2000;2000;100;1000;1000;500;2200;2200;5200;5200;0;0;0;0;0;0;1.62;0;180;0;2024-01-19 00:00:00;2024-04-19 00:00:00
LOJXO1;DCUAOF;2024-01-19 00:00:00;;S0420;XLIDA;t;1;10;;t;500;2000;2000;100;1000;1000;500;2200;2200;5200;5200;0;0;0;0;0;0;1.62;0;180;0;2024-01-19 00:00:00;2024-04-19 00:00:00
LOJXO1;CAUAOF;2024-01-19 00:00:00;;S0422;XLCMB;t;1;1;;t;500;2000;2000;100;1000;1000;500;2200;2200;5200;5200;0;0;0;0;0;0;1.62;0;180;0;2024-01-19 00:00:00;2024-05-31 00:00:00
POAXAC1;NTAPEU;2024-08-30 00:00:00;;S0273;NOTIF;t;2;1;;t;140;600;600;90;600;600;1;600;600;900;900;100;900;100;900;1040;2000;;0;180;7;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXH3;DOUAOF;2024-08-30 00:00:00;;S0411;PPOPM;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;;0;180;15;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXI3;DOUAOF;2024-08-30 00:00:00;;S0410;PPOST;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;;0;180;15;2024-08-30 00:00:00;2024-08-30 00:00:00
PADXA99;DOUAOF;2024-10-17 00:00:00;;S0235;PEXDO;t;2;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA99;OFUAOF;2024-10-17 00:00:00;;S0236;PEXOF;t;1;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA99;DOMCIT;2024-10-17 00:00:00;;S0235;PEXDO;t;2;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA99;OFICIT;2024-10-17 00:00:00;;S0236;PEXOF;t;1;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB99;DOUAOF;2024-10-17 00:00:00;;S0132;PQDOM;t;2;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB99;OFUAOF;2024-10-17 00:00:00;;S0133;PQELE;t;1;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
PAGXJ3;BUUAOF;2024-10-17 00:00:00;;S0360;LIGHT;t;1;1;;t;90;600;600;140;600;600;1;600;600;900;900;100;900;100;900;1040;2250;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAA3;INTESP;2024-10-17 00:00:00;;S0239;"";f;1;99;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;10;0;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;ACUESP;2024-10-17 00:00:00;;S0207;CERWS;t;1;1;;t;140;600;600;90;600;600;1;600;600;900;900;100;900;100;900;1040;2000;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;;S0004;CCERT;t;1;1;;t;140;600;600;90;600;600;1;600;600;900;900;100;900;100;900;1040;2000;0.00;0;180;15;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD1;EXPORT;2024-10-17 00:00:00;;S0002;CORDI;f;1;1;;t;140;600;600;90;600;600;1;600;600;900;900;100;900;100;900;1040;2000;0.00;0;180;0;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE2;ENESVA;2024-10-17 00:00:00;;S0750;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;35;0;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE6;ENESVA;2024-10-17 00:00:00;;S0750;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;35;0;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF2;PAIMAR;2024-10-17 00:00:00;;S0752;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;35;0;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF6;PAIMAR;2024-10-17 00:00:00;;S0752;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;35;0;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB1;ORUAOF;2025-06-30 00:00:00;;S0133;PQREF;t;1;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2025-06-30 00:00:00;2025-06-30 00:00:00
FRAXR1;DOURUA;2024-02-20 00:00:00;;S0519;DFRIO;t;1;1;;t;360;680;680;360;490;490;350;480;480;1610;1610;0;0;0;0;0;24430;0.00;0;180;0;2024-02-20 00:00:00;2024-07-14 00:00:00
OSIXAG2;PAIMAR;2025-07-14 00:00:00;;S0753;"";f;0;0;;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;2025-07-14 00:00:00;2025-07-14 00:00:00
OSIXAG6;PAIMAR;2025-07-14 00:00:00;;S0753;"";f;0;0;;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;2025-07-14 00:00:00;2025-07-14 00:00:00
FRKXU1;CEURUA;2024-02-20 00:00:00;;S0514;RCISO;t;1;1;;t;360;680;680;360;490;490;350;480;480;1610;1610;0;0;0;0;0;24430;0.00;0;180;0;2024-02-20 00:00:00;2024-07-14 00:00:00
FRKXU2;CEURUA;2024-02-20 00:00:00;;S0514;RCISO;t;1;1;;t;360;680;680;360;490;490;350;480;480;1610;1610;0;0;0;0;0;24430;0.00;0;180;0;2024-02-20 00:00:00;2024-07-14 00:00:00
PABICN2;OFUAOF;2025-08-11 00:00:00;;S0133;"";t;1;1;;t;150;1500;1500;150;900;900;150;300;300;2700;2700;0;0;0;0;0;68;0.00;0;180;15;2025-08-11 00:00:00;2025-08-11 00:00:00
OSIXUS2;NA;2025-09-09 00:00:00;;S0753;MINIMIS2;f;0;0;\x30;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;35;0;2025-09-09 00:00:00;2025-09-09 00:00:00
LQBUTOOF1;BUUAOF;2025-05-26 00:00:00;;S0361;DIINL;t;1;1;;t;90;600;600;140;600;600;1;600;600;900;900;100;900;100;900;1040;2250;0.00;0;180;15;2025-05-26 00:00:00;2025-05-26 00:00:00
